,Type,Title,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
1531,Movie,Dead Combo,Unknown,Unknown,2011,NR,28 min,Music Videos and Concerts,5.895
4573,Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J. L. Reate, Charles Dance",1986,PG-13,93 min,Adventure,5.895
1530,Movie,Dead Man Running,Alex De Rakoff,"Clint Koroan, Fredi Nwaka, Curtis Jackson, Danny Dyer",2009,R,92 min,"Action, Drama",5.895
4575,Movie,Something Wild (1986),Jonathan Demme,"Jeff Daniels, Melanie Griffith, Tracey Walter, Dana Preu, Jack Gilpin, John Waters, Ray Liotta, John Sayles",1986,R,114 min,Comedy,5.895
4574,Movie,Thai Pirandhal Vazhi Pirakkum,A. K. Velan,"S. S. Rajendran, M. N. Rajam, Prem Nazir, Rajasulochana, V. K. Ramasamy",1958,ALL,139 min,Drama,5.895
869,Movie,My Father's Guests,"Anne Le Ny, Luc Béraud","Fabrice Lucchini, Karin Viard, Michel Aumont, Valérie Benguigui",2010,7+,91 min,Comedy,5.894
6387,Movie,The Sacrament,"magnolia, Magnolia","Joe Swanberg, AJ Bowen, Ti West",2014,R,99 min,"Arthouse, Horror, Suspense",5.894
5640,Movie,FLESH,Nikk Bergman,"Amanda Denney, Rozz Ohlin, Katie Wimmer, Sydney Barnes, Shane Massicotte",2021,18+,70 min,Horror,5.892
231,Movie,The Wedding Year,Robert Luketic,"Sarah Hyland, Camille Hyde, Zora Bikangaga, Laci Mosley, Tom Conolly, Grace Helbig, Tyler James Williams, Jenna Dewan, Matt Shively, Anna Camp, Noureen DeWulf, Wanda Sykes, Kristen Johnston, Patrick Warburton, Keith David",2019,R,91 min,Comedy,5.892
1754,Movie,Beowulf,Robert Zemeckis,"Ray Winstone, Anthony Hopkins, John Malkovich, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Angelina Jolie",2007,PG-13,114 min,"Action, Fantasy",5.892
2343,Movie,Assault on Wall Street,Uwe Boll,"Dominic Purcell, Erin Karpluk, Edward Furlong",2013,R,99 min,"Action, Suspense",5.891
4609,Movie,Dear Mr. Gacy,Svetozar Ristovski,"William Forsythe, Jesse Moss, Emma Lahana",2010,R,103 min,"Horror, Suspense",5.89
2687,Movie,In The Blood,John Stockwell,"Gina Carano, Danny Trejo, Cam Gigandet, Treat Williams, Luis Guzman, Stephen Lang, Ismael Cruz Cordova, Amaury Nolasco",2014,R,108 min,"Action, Adventure, Suspense",5.889
5507,Movie,Mother's Day,Darren Lynn Bousman,"Rebecca DeMornay, Shawn Ashmore, Jaime King, Frank Grillo, Lyriq Bent, Patrick John Flueger",2012,18+,112 min,"Horror, Suspense",5.888
1743,Movie,Bhoot Part One - The Haunted Ship,Bhanu Pratap Singh,"Vicky Kaushal, Bhumi Pednekar, Ashutosh Rana",2020,16+,110 min,"Horror, International",5.886
1379,Movie,Forbidden Empire,Oleg Stepchenko,"Jason Flemyng, Andrey Smolyakov, Aleksey Chadov",2015,18+,112 min,"Action, Science Fiction, Suspense",5.886
2726,Movie,Nocturne,Zu Quirke,"Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw",2020,16+,90 min,Suspense,5.886
4484,Movie,Band of Robbers,"Aaron Nee, Adam Nee","Kyle Gallner, Adam Nee, Matthew Gray Gubler, Melissa Benoist, Daniel Edward Mora, Johnny Pemberton, Cooper Huckabee, Lee Garlington, Beth Grant, Creed Bratton, Eric Christian Olsen, Hannibal Buress, Stephen Lang",2016,18+,95 min,"Action, Adventure, Comedy",5.885
2479,Movie,Double Sketch,R. Rahesh,"J. D. Chakravarthy, Dhruvva, Aishwarya Dutta, Anjana Prem, Saranya Ponvannan, Mime Gopi, Ramachandran Durairaj",2021,13+,111 min,Drama,5.884
2478,Movie,Dummy,Matthew Thompson,"Aaron Johnson, Thomas Grant, Emma Catherwood, Moira Brooker, Therese Bradley",2008,16+,85 min,Drama,5.884
216,Movie,The Yellow Birds,Alexandre Moors,"Tye Sheridan, Alden Ehrenreich, Toni Collette, Jason Patric, Jack Huston, Jennifer Aniston",2018,R,95 min,Drama,5.883
217,Movie,The World's Most Peaceful Resorts,Mark Knight,Unknown,2012,ALL,60 min,Special Interest,5.883
218,Movie,The World's Most Breathtaking Waterfalls,Mark Knight,Unknown,2012,ALL,60 min,Special Interest,5.883
219,Movie,The World's Most Beautiful Beaches,Mark Knight,Unknown,2012,ALL,60 min,"Documentary, Special Interest",5.883
220,Movie,The World's Greatest Cities Set to Jazz,Mark Knight,Unknown,2017,ALL,66 min,"Music Videos and Concerts, Special Interest",5.883
4058,Movie,Frankie & Alice,Geoffrey Sax,"Halle Berry, Stellan Skarsgard, Phylicia Rashad, Chandra Wilson",2014,R,101 min,Drama,5.882
1966,Movie,A Century of the Queen Mother: 100 Years in 100 minutes,Alan Scales,"Queen Elizabeth, Valerie Singleton",2000,ALL,101 min,"Documentary, International",5.882
1965,Movie,A Christmas in Royal Fashion,Fred Olen Ray,Unknown,2018,13+,86 min,"Comedy, Romance",5.882
5568,Movie,Sahara,Andrew V. McLaglen,"Brooke Shields, John Rhys-Davies, Horst Buchholz",1984,13+,106 min,"Action, Comedy",5.88
6548,Movie,Snow White,Michael Berz,"Diana Rigg, Billy Barty, Sarah Patterson, Nicola Stapleton",1987,G,85 min,"Arts, Entertainment, and Culture, Kids, Science Fiction",5.879
2197,Movie,SNOW WHITE,Michael Berz,"Billy Barty, Diana Rigg",1987,G,82 min,"Arts, Entertainment, and Culture, Fantasy, Kids",5.879
5490,Movie,The Burrowers,J.T. Petty,"William Mapother, Sean Patrick Thomas, Doug Hutchison, Karl Geary, Laura Leighton, Jocelin Donahue, Clancy Brown",2009,R,96 min,"Horror, Western",5.878
980,Movie,Mambo Italiano,Émile Gaudreault,"Luke Kirby, Claudia Ferri, Peter Miller, Paul Sorvino, Ginette Reno, Mary Walsh, Sophie Lorain",2003,R,89 min,"Comedy, Drama, LGBTQ",5.877
981,Movie,Making of Michael Jordan's Playground,Zack Snyder,Michael Jordan,1997,7+,24 min,"Documentary, Special Interest",5.877
4233,Movie,White Zombie,Victor Halperin,"Bela Lugosi, Madge Bellamy, Robert Frazer, John Harron",1932,13+,66 min,Horror,5.877
4550,Movie,I Am Love (English Subtitled),Luca Guadagnino,"Tilda Swinton,  Flavio Parenti,  Edoardo Gabbriellini,  Alba Rohrwacher",2010,R,119 min,"Drama, International",5.875
4487,Movie,A Lonely Woman,Juven Cavazos,"Youlika Skafida, Beau Yotty",2018,13+,105 min,Drama,5.875
1517,Movie,Despite The Falling Snow,Shamim Sarif,"Rebecca Ferguson, Charles Dance, Sam Reid, Antje Traue, Anthony Head, Oliver Jackson-Cohen",2017,PG-13,93 min,"Drama, Suspense",5.875
2500,Movie,Yuvarathnaa (Kannada),Santhosh Ananddram,"Puneeth Rajkumar, Sayyeshaa Saigal, Prakash Raj, Dhananjaya, Diganth Manchale, Sonu Gowda, Avinash, Achyuth Kumar, Sai Kumar Pudipeddi, Sudharani",2021,NR,159 min,"Action, Drama",5.875
237,Movie,The True Adventures of Wolfboy,Martin Krejcí,"Jaeden Martell, Sophie Giannamore, John Turturro, Chloë Sevigny, Chris Messina, Eve Hewson",2020,PG-13,89 min,"Action, Drama",5.875
3797,Movie,Sacrilege,David Creed,"Tamaryn Payne, Emily Wyatt, Sian Abrahams, Naomi Willow",2021,18+,83 min,Horror,5.875
4549,Movie,Iris,Albert Maysles,"Iris Apfel, Carl Apfel",2015,PG-13,80 min,Documentary,5.875
1518,Movie,Deluka,Baeble Music,Unknown,2006,NR,27 min,"Arts, Entertainment, and Culture",5.875
3626,Movie,Absolutely Anything,Terry Jones,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle, Robert Bathurst",2017,R,85 min,"Comedy, Science Fiction",5.874
538,Movie,Spiral,Laura Fairrie,Unknown,2017,13+,78 min,Special Interest,5.872
4946,Movie,Permanent Midnight,David Veloz,"Ben Stiller, Elizabeth Hurley, Janeane Garofalo, Maria Bello, Owen Wilson, Cheryl Ladd",1998,R,88 min,Drama,5.872
6139,Movie,Sleepaway Camp II: Unhappy Campers,Michael A. Simpson,"Brian Patrick Clarke, Valerie Hartman, Pamela Springsteen, Tony Higgins, Renee Estevez, Walter Gotell",1988,R,80 min,Horror,5.87
4572,Movie,The Lair of the White Worm,Ken Russell,"Hugh Grant, Amanda Donohoe, Catherine Oxenberg",1988,R,93 min,"Comedy, Horror",5.87
2375,Movie,Summer Night,Joseph Cross,"Victoria Justice, Justin Chatwin, Lana Condor, Ellar Coltrane, Ian Nelson, Analeigh Tipton, Callan McAuliffe, Ella Hunt, Hayden Szeto, Bill Milner, Elena Kampouris",2019,13+,93 min,"Comedy, Drama, Young Adult Audience",5.87
5163,Movie,The GiggleBellies: Monster Trucks,TheGiggleBellies,The GiggleBellies Monster Trucks,2019,ALL,75 min,Kids,5.868
5162,Movie,The Million Dollar Hotel,Wim Wenders,"Jeremy Davis, Milla Jovovich, Mel Gibson",2000,R,117 min,"Drama, Suspense",5.868
418,Movie,The Christmas Candle,John Stephenson,"Hans Matheson, Samantha Barks, Lesley Manville, Sylvester McCoy, James Cosmo, John Hannah, Barbara Flynn",2013,PG,100 min,"Drama, Faith and Spirituality, Romance",5.868
315,Movie,The Little Traitor,Lynn Roth,"Ido Port, Alfred Molina, Gilya Stern, Rami Heuberger, Theodore Bikel",2009,13+,89 min,Drama,5.867
2830,Movie,I LOVE YOU TOO,Ruud van Hemert,"Antonie Kamerling, Angela Shijf, Beau van Erven Dorens",2001,R,92 min,International,5.867
5052,Movie,I Could Never Be Your Woman,Amy Heckerling,"Michelle Pfeiffer, Paul Rudd, Saoirse Ronan, Tracey Ullman",2007,PG-13,97 min,"Comedy, Drama, Romance",5.865
5564,Movie,Sky Captain and The World of Tomorrow,Kerry Conran,"Jude Law, Gwyneth Paltrow, Angelina Jolie, Giovanni Ribisi",2004,PG,107 min,"Action, Adventure, Science Fiction",5.865
3878,Movie,Agent Revelation,Derek Ting,"Michael Dorn, Kayla Ewell, Eve Mauro",2021,16+,86 min,"Action, Science Fiction",5.862
423,Movie,The Bridges at Toko-Ri,Mark Robson,"Grace Kelly, William Holden, Mickey Rooney",1955,13+,103 min,"Action, Drama",5.861
6510,Movie,Messenger of Death,J. Lee Thompson,"Charles Bronson, Trish Van Devere, Lawrence Luckinbill, Daniel Benzali, Marilyn Hassett, Charles Dierkop, John Ireland, Penny Peyser, Jeff Corey",1988,R,91 min,Action,5.86
4360,Movie,Guerrilla: The Taking of Patty Hearst,Robert Stone,"Russ Little, Patty Hearst",2004,UNRATED,89 min,Documentary,5.857
2712,Movie,Iceberg Slim: Portrait of a Pimp,Jorge Hinojosa,"Ice-T, Quincy Jones, Chris Rock, Snoop Dogg, Henry Rollins",2014,13+,88 min,Documentary,5.857
424,Movie,The Bray Road Beast,Seth Breedlove,"Linda Godfrey, Lyle Blackburn",2020,13+,67 min,Documentary,5.857
1853,Movie,Angrezi Mein Kehte Hain,Harish Vyas,"Sanjay Mishra, Ekavali Khanna, Anshuman Jha, Shivani Raghuvanshi, Brijendra Kala, Pankaj Tripathi, Ipshita Singh Chokroberty, Imran Zahid, Teji Sandhu, Manish Shukla, Mira Mishra, Priyanka Pandey, Manav Malhotra",2018,NR,108 min,"Comedy, Drama",5.857
4361,Movie,Georges the Great,François Marthouret,"Xavier Gallais, Marie Denarnaud, Philippine Pierre-Brossolette, Thomas Chabrol",2013,13+,94 min,Drama,5.857
3061,Movie,Perfect Plan,Tristan Dubois,"Emily Rose, Lucas Bryant, Jonathan Watton, Cristina Rosato, Nicole Leroux, Peter Michael Dillon",2010,13+,89 min,"Drama, Suspense",5.855
5104,Movie,The Glass House,Tom Gries,"Alan Alda, Billy Dee Williams",1972,13+,90 min,Drama,5.855
4577,Movie,Six Weeks,Tony Bill,"Dudley Moore, Mary Tyler Moore, Katherine Healy, Shannon Wilcox, Bill Calvert",1982,PG,108 min,Drama,5.853
5378,Movie,Annie: A Royal Adventure,Ian Toyton,"Joan Collins, Ashley Johnson, George Hearn, Ian McDiarmid, Emily Ann Lloyd",1995,G,92 min,"Action, Kids",5.852
6110,Movie,The Midnight After,Fruit Chan,"Simon Yam, Tien You Chui",2014,16+,121 min,"Action, Drama, Horror",5.852
3260,Movie,All Hallows' Eve,Charlie Vaughn,"Lexi Giovagnoli, Ashley Argota, John DeLuca, Diane Salinger, Tracey Gold, Martin Klebba, Dee Wallace",2016,UNRATED,92 min,Kids,5.851
143,Movie,Twenty Bucks,Keva Rosenfeld,"Linda Hunt, Brendan Fraser, Elisabeth Shue, Steve Buscemi, Christopher Lloyd, William H. Macy, Jeremy Piven, David Schwimmer",1993,R,91 min,"Arthouse, Comedy, Drama",5.849
1488,Movie,Domain,Nathaniel Atcheson,"Britt Lower, Ryan Merriman, William Gregory Lee, Kevin Sizemore, Nick Gomez",2018,Unknown,97 min,"Science Fiction, Suspense",5.848
2689,Movie,I Hate Kids,John Asher,"Tom Everett Scott, Tituss Burgess, Julian Feder, Marisa Tomei, Rachel Boston, Rhea Seehorn, Julie Ann Emery, Bryan Batt",2019,13+,89 min,"Adventure, Comedy",5.848
2943,Movie,CHI-RAQ,Spike Lee,"Nick Cannon, Wesley Snipes, Teyonah Parris, Jennifer Hudson, Steve Harris, Harry Lennix, D.B. Sweeney, Angela Bassett as ""Miss Helen"", with John Cusack, and Samuel L. Jackson",2016,R,127 min,Drama,5.847
5934,Movie,In My Mind,CHRIS RODLEY,Unknown,2017,ALL,78 min,"Documentary, Special Interest",5.846
1984,Movie,6 Below,Scott Waugh,"Josh Hartnett, Mira Sorvino, Sarah Dumont",2017,PG-13,98 min,"Action, Drama, Suspense",5.844
1985,Movie,5K1-States Evidence,Don Armstrong,"Clifton Powell, Forty Da Great, Melvin Jackson Jr, Quest MCODY, Marwon, Ms Nia, Christina Usher",2018,18+,108 min,"Action, Drama",5.844
6567,Movie,River,Emily Skye,"Mary Cameron Rogers, Alexandra Rose, Rob Marshall, Courtney Gains, Becki Hayes",2021,16+,93 min,"Drama, Science Fiction, Suspense",5.844
1989,Movie,41,Glenn Triggs,"Chris Gibson, David Macrae",2014,16+,81 min,"Drama, Science Fiction",5.844
5527,Movie,A Good Old Fashioned Orgy,"Alex Gregory, Peter Huyck","Jason Sudeikis, Leslie Bibb, Lake Bell, Michelle Borth, Nick Kroll, Tyler Labine, Angela Sarafyan, Lindsay Sloane, Martin Starr, Rhys Coiro, Will Forte, David Koechner, Lucy Punch, Lin Shaye",2011,18+,95 min,Comedy,5.844
2198,Movie,Smitty,David Mickey Evans,"Brandon Tyler Russell, Peter Fonda, Mira Sorvino, Louis Gossett Jr.",2013,PG,95 min,Drama,5.842
2199,Movie,Sing and Rhyme with Mother Goose Club,John Hussey,"Liam Remick, Rachel Hockett, Joseph Lopez, Abigail McGuire, Ivy Rhodes, Jessica Diaz",2015,ALL,42 min,Kids,5.842
2108,Movie,Steve and Maggie - Spooktacular Special (Vol. 14),Wattsenglish Ltd.,"Steve, Maggie",2021,ALL,47 min,"Animation, Kids",5.842
2107,Movie,Sworn To Justice,Paul Maslak,"Cynthia Rothrock, Tony Lo Bianco, Kurt McKinney",1997,R,97 min,"Action, Drama, Suspense",5.842
4210,Movie,Indigenous,Alastair Orr,"Zachary Soetenga, Lindsey McKeon, Sofia Pernas, Pierson Fode, Jamie Anderson",2016,R,86 min,Horror,5.841
147,Movie,Tuff Turf,"Bill Bixby, Charles Braverman, Jackie Cooper","James Spader, Robert Downey Jr., Kim Richards, Paul Mones",1985,R,112 min,"Action, Comedy, Drama",5.84
148,Movie,Try Not To Laugh - Black Comics,Laugh Factory,"Clayton Thomas, Chloe Hilliard",2018,13+,15 min,"Arts, Entertainment, and Culture, Comedy",5.84
2824,Movie,LET THERE BE LIGHT,Arthur Joffe,Helene de Fourgorelles Tcheky Karyo Pierre Arditi,1998,PG-13,101 min,"Comedy, International",5.839
6313,Movie,Let There Be Light,"Mila Aung-Thwin, Van Royko","Mark Henderson, Jeffrey Harris, Michel Laberge",2017,ALL,80 min,"Documentary, Suspense",5.839
2636,Movie,Two Friends,Louis Garrel,"Golshifteh Farahan, Vincent Macaigne, Louis Garrel, Mahaut Adam",2015,18+,102 min,"Comedy, Drama, Romance",5.838
603,Movie,Shivaay,Ajay Devgn,"Ajay Devgn, Abigail Eames, Erika Kaar",2015,13+,154 min,"Action, Drama, International",5.836
749,Movie,Penance Lane,Péter Engert,"Tyler Mane, Scout Compton, John Schneider, Daniel Reobuck, Booker Huffman, Dallas Page, Renae Geerlings, William Tokarsky",2020,Unknown,84 min,"Horror, Suspense",5.835
2211,Movie,Robinson Crusoe,Luis Buñuel,Unknown,1954,13+,89 min,Action,5.834
1571,Movie,Cosmos,"Elliot Weaver, Zander Weaver","Tom England, Arjun Singh Panam, Joshua Ford, Ben Vardy",2019,13+,129 min,"Action, Science Fiction",5.833
129,Movie,Under Western Stars,Joseph Kane,"Roy Rogers, Smiley Burnette, Carol Hughes, Maple City Four, Guy Usher, Tom Chatterton, Kenneth Harlan, Alden 'Stephen' Chase, Brandon Beach, Earl Dwire, Jean Fowler, Dora Clement, Dick Elliott, Burr Caruth, Slim Whitaker, Jack Rockwell, Frankie Marvin, Roy Bucko, Fred Burns, Bob Card, Tommy Coats, Tex Cooper, Art Dillard, Curley Dresden, Herman Hack, Henry Hall, Earle Hodgins, Jack Ingram, Art Janes, Jane Keckley, Jack Kirk, Merrill McCormick, Fritz Meissner, George Montgomery, Milburn Morante, George Morrell, Jack O'Shea, Pat Petterson, Al Rice, Duke Taylor, Trigger, Bill Wolfe",1938,13+,60 min,Western,5.833
3828,Movie,Unforgivable,Graeme Campbell,"John Ritter, Harley Jane Kozak, Kevin Dunn, Susan Gibney, Gina Philips",1996,13+,88 min,Drama,5.833
4990,Movie,Holy Air,Shady Srour,"Shady Srour, Laëtitia Eïdo, Samuel Calderon, Tarik Kopty, Roberto Della Rocca",2017,16+,81 min,"Comedy, Drama",5.833
4315,Movie,The Campaign,Marian Crisan,"Ovidiu Crisan, Ion Sapdaru",2020,7+,91 min,Drama,5.833
4314,Movie,The Girl in the Book,Marya Cohn,"Emily VanCamp, Michael Nyqvist, Ana Mulvoy-Ten, Talia Balsam",2015,18+,88 min,Drama,5.832
5077,Movie,Count Dracula,Philip Saville,"Louis Jourdan, Frank Finlay, Susan Penhaligon, Jack Shepherd, Bosco Hogan",1977,16+,150 min,"Drama, Horror",5.832
5421,Movie,Population 436,Michelle MacLaren,"Jeremy Sisto, Charlotte Sullivan, Peter Outerbridge, R.H. Thomson, Fred Durst, Christian Potenza",2006,R,92 min,"Horror, Suspense",5.831
2710,Movie,Numb,Jason R. Goode,"Jamie Bamber, Marie Avgeropoulos, Aleks Paunovic, Stefanie von Pfetten",2019,18+,89 min,"Drama, Suspense",5.829
3532,Movie,Touch,Aleksandra Szczepanowska,"Aleksandra Szczepanowska, Yang Jun, Yuan Jiangyi",2021,16+,97 min,"Romance, Suspense",5.828
6335,Movie,Bandslam,Todd Graff,"Lisa Kudrow, Vanessa Hudgens, Aly Michalka, Scott Porter, Gaelan Connell",2009,PG,111 min,"Comedy, Drama, Kids",5.828
13,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",2019,Unknown,96 min,"Comedy, Drama",5.827
1551,Movie,Dakota,Joseph Kane,"John Wayne, Vera Ralston, Walter Brennan, Ward Bond, Mike Mazurki",1945,13+,82 min,"Action, Western",5.826
5334,Movie,The Boss,Joseph Novoa,"Laureano Olivares, Edgar Ramirez, Beatriz Vásquez, Andreína Blanco, Juan David Restrepo",2006,18+,99 min,Action,5.825
33,Movie,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,2016,ALL,6 min,"Fitness, Special Interest",5.824
24,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,2014,ALL,18 min,"Faith and Spirituality, Special Interest",5.824
23,Movie,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,2016,ALL,9 min,"Fitness, Special Interest",5.824
25,Movie,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,2016,ALL,14 min,"Fitness, Special Interest",5.824
1195,Movie,In Search of Fellini,Taron Lexton,"Ksenia Solo, Maria Bello, Mary Lynn Rajskub",2017,R,104 min,"Adventure, Comedy, Drama",5.824
27,Movie,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,2014,ALL,19 min,"Fitness, Special Interest",5.824
22,Movie,"You, Me and Him",Daisy Aitkens,"David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",2017,Unknown,98 min,"Comedy, Drama",5.824
32,Movie,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,2016,ALL,60 min,"Fitness, Special Interest",5.824
29,Movie,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,2014,ALL,20 min,"Fitness, Special Interest",5.824
26,Movie,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,2014,ALL,20 min,Special Interest,5.824
28,Movie,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,2014,ALL,18 min,"Fitness, Special Interest",5.824
30,Movie,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,2014,ALL,20 min,Special Interest,5.824
31,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,2016,ALL,22 min,"Fitness, Special Interest",5.824
1441,Movie,Elsewhere,Hernán Jiménez,"Aden Young, Parker Posey, Ken Jeong, Beau Bridges, Jacki Weaver",2020,R,98 min,"Comedy, Drama",5.822
5057,Movie,Cut the Rope: Learn English with Om Nom (Volume 2),Zeptolab,"Cut the Rope, Om Nom",2021,ALL,37 min,"Animation, Kids",5.821
6270,Movie,An All Dogs Christmas Carol,"Gary Selvaggio, Paul Sabella","Charles Nelson Reilly, Sheena Easton, Ernest Borgnine, Dom DeLuise, Bebe Neuwirth, Steven Weber",1998,G,73 min,Kids,5.821
5056,Movie,Daphne,Clare Beavan,"Geraldine Somerville, Elizabeth McGovern, Janet McTeer",2007,16+,88 min,"Drama, LGBTQ",5.821
6271,Movie,Amazing Grace (1974),Stan Lathan,"Jackie ""Moms"" Mabley, Slappy White, Rosalind Cash, Moses Gunn, Butterfly McQueen",1974,G,98 min,Comedy,5.821
1702,Movie,Blue Steel,Robert N. Bradbury,"John Wayne, Eleanor Hunt, George 'Gabby' Hayes, Edward Peil Sr., Yakima Canutt, Lafe McKee, George Cleveland, Earl Dwire, Silver Tip Baker, Barney Beasley, Hank Bell, Ralph Bucko, Horace B. Carpenter, Fern Emmett, Jack Evans, Herman Hack, Theodore Lorch, Bud McClure, Perry Murdock, George Nash, Herman Nowlin, Artie Ortego, Tex Phelps",1934,13+,51 min,Western,5.82
1801,Movie,Bad Ass,Craig Moss,"Danny Trejo, Charles S. Dutton, Patrick Fabian, Joyful Drake, John Duffy, Harrison Page",2012,R,90 min,Action,5.82
5503,Movie,Pet,Carles Torrens,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy, Nathan Parsons, Da'Vone McDonald, John Ross Bowie",2016,R,94 min,"Arthouse, Horror, Suspense",5.819
3702,Movie,Gamera vs. Jiger,Noriaki Yuasa,"Tsutomu Takakuwa, Kelly Varis, Katherine Murphy",1970,13+,83 min,Science Fiction,5.817
2018,Movie,12 Rounds 3: Lockdown,Stephen Reynolds,"Dean Ambrose, Roger Cross, Daniel Cudmore, Lochlyn Munro, Ty Olsson, Sarah Smyth",2015,R,90 min,"Action, Adventure, Suspense",5.814
4837,Movie,Nancy,Christina Choe,"Andrea Riseborough, Steve Buscemi, Ann Dowd, John Leguizamo, J. Smith-Cameron, Virginia Kull, Olli Haaskivi, Owen Campbell",2018,13+,85 min,"Horror, Suspense",5.814
6555,Movie,Marley & Me,David Frankel,"Owen Wilson, Jennifer Aniston",2008,PG,116 min,"Comedy, Drama, Kids",5.813
2472,Movie,Gulabo Sitabo,Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava",2020,16+,125 min,International,5.813
4858,Movie,Bangalore Naatkal,Bhaskar,"Sri Divya, Bobby Simha, Arya, Rana Daggubati, Parvathy Thiruvothu, Raai Laxmi",2016,13+,149 min,"Comedy, Drama",5.813
1897,Movie,Albion: The Enchanted Stallion,Castille Landon,"Daniel Sharman, Liam Mcintyre, Debra Messing, Jennifer Morrison, Castille Landon",2017,Unknown,106 min,"Adventure, Fantasy, Kids",5.811
2557,Movie,Act Naturally,J.P. Riley,"Liz Lytle, Katie L. Hall, Susan May Pratt, Alan Cox, Sadie Alexandru, Rob Roy Fitzgerald",2013,18+,93 min,"Comedy, Drama",5.81
1562,Movie,Criminally Insane,Nick Millard,Priscilla Alden,2007,18+,62 min,Drama,5.808
1802,Movie,Backtrack,Dennis Hopper,"Dennis Hopper, Foster, Dean Stockwell, Vincent Price, John Turturro",1990,R,100 min,"Drama, Suspense",5.808
4022,Movie,The Turning,"Jonathan auf der Heide, Tony Ayres","Colin Friels, James Peter Fraser, Henri Phillips, Nikita Leigh-Pritchard, Tim Winton",2014,R,107 min,Drama,5.807
47,Movie,Within Our Gates,Oscar Micheaux,"Evelyn Preer, Flo Clements",1920,13+,78 min,Drama,5.806
6254,Movie,Blue Crush 2,Mike Elliott,"Sasha Jackson, Elizabeth Mathis, Gideon Emery, Ben Milliken, Sharni Vinson, Chris Fisher, Rosy Hodge",2011,PG-13,113 min,"Action, Drama, Sports",5.805
2932,Movie,The Cry of The Owl,Jamie Thraves,"Paddy Considine, Julia Stiles, Karl Pruner",2009,R,100 min,"Drama, Suspense",5.805
6151,Movie,Resident Evil: Retribution,Paul W.S. Anderson,"Ave Merson-O'Brian, Milla Jovovich, Michelle Rodriguez, Sally Cahill, Kevin Durand, Sienna Guillory, Shawn Roberts, Aryana Engineer, Colin Salmon, Johann Urb, Boris Kodjoe, Li Bingbing",2012,R,96 min,"Action, Science Fiction",5.804
824,Movie,Night of the Running Man,Mark L. Lester,"Andrew McCarthy, John Glover, Scott Glenn, Wayne Newton",1995,R,93 min,"Action, Adventure, Suspense",5.803
2169,Movie,The Intervention,Clea DuVall,"Natasha Lyonne, Cobie Smulders, Clea DuVall, Melanie Lynskey, Alia Shawkat, Ben Schwartz, Jason Ritter, Vincent Piazza",2016,R,89 min,"Comedy, Drama",5.8
3881,Movie,Killer Assistant,"MarVista Entertainment,  Inc.","Arianne Zucker, Brandon Eaton, George Stults, Natalie Lander",2016,UNRATED,90 min,Suspense,5.8
1254,Movie,Hi De Ho,Josh Binney,"Cab Calloway, Ida James, Jeni Le Gon, George Wiltshire, Peters Sisters, William Campbell, Virginia Girvin",1947,13+,71 min,"Arts, Entertainment, and Culture, Drama",5.8
5789,Movie,American Lowrider,Demetrius Navarro,"Valente Rodriguez, Erlinda Navarro, Demetrius Navarro",2010,R,86 min,Comedy,5.8
2980,Movie,Maikol Yordan 2: The faraway cure,Daniel Moreno,"Mario Chacón, Boris Alonso, Alondra Elizondo, Erik Hernández Gabarain, Luis Hernández, Natalia Monge",2018,13+,110 min,"Comedy, Kids",5.8
4367,Movie,Budget Padmanabhan,T. P. Gajendran,"Prabhu, Ramya Krishnan, Karan, Mumtaj, Vivek, Manivannan, Kovai Sarala",2000,ALL,158 min,"Comedy, Drama",5.8
2161,Movie,The Night Watch,Richard Laxton,"Anna Maxwell Martin, Claire Foy, Jodie Whittaker, Anna Wilson Jones, Harry Treadaway",2011,Unknown,89 min,"Drama, Romance",5.8
